intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
921;121403593;2023-04-01;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304010000;TrafficFlowObserved;bicycle;False
991;121403593;2023-04-02;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304020000;TrafficFlowObserved;bicycle;False
1824;121403593;2023-04-03;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304030000;TrafficFlowObserved;bicycle;False
2018;121403593;2023-04-04;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304040000;TrafficFlowObserved;bicycle;False
1995;121403593;2023-04-05;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304050000;TrafficFlowObserved;bicycle;False
1916;121403593;2023-04-06;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304060000;TrafficFlowObserved;bicycle;False
1710;121403593;2023-04-07;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304070000;TrafficFlowObserved;bicycle;False
1088;121403593;2023-04-08;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304080000;TrafficFlowObserved;bicycle;False
1084;121403593;2023-04-09;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304090000;TrafficFlowObserved;bicycle;False
1032;121403593;2023-04-10;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304100000;TrafficFlowObserved;bicycle;False
1851;121403593;2023-04-11;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304110000;TrafficFlowObserved;bicycle;False
1765;121403593;2023-04-12;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304120000;TrafficFlowObserved;bicycle;False
1841;121403593;2023-04-13;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304130000;TrafficFlowObserved;bicycle;False
1403;121403593;2023-04-14;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304140000;TrafficFlowObserved;bicycle;False
758;121403593;2023-04-15;3.89694;43.609699;MMM_EcoCompt_X2H19070220_202304150000;TrafficFlowObserved;bicycle;False
