intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
352;295726077;2023-04-01;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304010000;TrafficFlowObserved;bicycle;False
246;295726077;2023-04-02;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304020000;TrafficFlowObserved;bicycle;False
599;295726077;2023-04-03;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304030000;TrafficFlowObserved;bicycle;False
669;295726077;2023-04-04;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304040000;TrafficFlowObserved;bicycle;False
3;295726077;2023-04-05;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304050000;TrafficFlowObserved;bicycle;False
627;295726077;2023-04-06;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304060000;TrafficFlowObserved;bicycle;False
571;295726077;2023-04-07;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304070000;TrafficFlowObserved;bicycle;False
335;295726077;2023-04-08;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304080000;TrafficFlowObserved;bicycle;False
206;295726077;2023-04-09;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304090000;TrafficFlowObserved;bicycle;False
194;295726077;2023-04-10;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304100000;TrafficFlowObserved;bicycle;False
564;295726077;2023-04-11;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304110000;TrafficFlowObserved;bicycle;False
569;295726077;2023-04-12;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304120000;TrafficFlowObserved;bicycle;False
644;295726077;2023-04-13;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304130000;TrafficFlowObserved;bicycle;False
604;295726077;2023-04-14;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304140000;TrafficFlowObserved;bicycle;False
375;295726077;2023-04-15;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304150000;TrafficFlowObserved;bicycle;False
261;295726077;2023-04-16;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304160000;TrafficFlowObserved;bicycle;False
611;295726077;2023-04-17;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304170000;TrafficFlowObserved;bicycle;False
734;295726077;2023-04-18;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304180000;TrafficFlowObserved;bicycle;False
606;295726077;2023-04-19;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304190000;TrafficFlowObserved;bicycle;False
671;295726077;2023-04-20;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304200000;TrafficFlowObserved;bicycle;False
605;295726077;2023-04-21;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304210000;TrafficFlowObserved;bicycle;False
340;295726077;2023-04-22;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304220000;TrafficFlowObserved;bicycle;False
206;295726077;2023-04-23;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304230000;TrafficFlowObserved;bicycle;False
479;295726077;2023-04-24;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304240000;TrafficFlowObserved;bicycle;False
548;295726077;2023-04-25;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304250000;TrafficFlowObserved;bicycle;False
533;295726077;2023-04-26;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304260000;TrafficFlowObserved;bicycle;False
539;295726077;2023-04-27;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304270000;TrafficFlowObserved;bicycle;False
503;295726077;2023-04-28;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304280000;TrafficFlowObserved;bicycle;False
319;295726077;2023-04-29;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304290000;TrafficFlowObserved;bicycle;False
187;295726077;2023-04-30;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202304300000;TrafficFlowObserved;bicycle;False
272;295726077;2023-05-01;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305010000;TrafficFlowObserved;bicycle;False
522;295726077;2023-05-02;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305020000;TrafficFlowObserved;bicycle;False
535;295726077;2023-05-03;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305030000;TrafficFlowObserved;bicycle;False
556;295726077;2023-05-04;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305040000;TrafficFlowObserved;bicycle;False
493;295726077;2023-05-05;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305050000;TrafficFlowObserved;bicycle;False
326;295726077;2023-05-06;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305060000;TrafficFlowObserved;bicycle;False
246;295726077;2023-05-07;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305070000;TrafficFlowObserved;bicycle;False
275;295726077;2023-05-08;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305080000;TrafficFlowObserved;bicycle;False
612;295726077;2023-05-09;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305090000;TrafficFlowObserved;bicycle;False
627;295726077;2023-05-10;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305100000;TrafficFlowObserved;bicycle;False
665;295726077;2023-05-11;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305110000;TrafficFlowObserved;bicycle;False
538;295726077;2023-05-12;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305120000;TrafficFlowObserved;bicycle;False
388;295726077;2023-05-13;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305130000;TrafficFlowObserved;bicycle;False
259;295726077;2023-05-14;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305140000;TrafficFlowObserved;bicycle;False
603;295726077;2023-05-15;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305150000;TrafficFlowObserved;bicycle;False
741;295726077;2023-05-16;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305160000;TrafficFlowObserved;bicycle;False
566;295726077;2023-05-17;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305170000;TrafficFlowObserved;bicycle;False
276;295726077;2023-05-18;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305180000;TrafficFlowObserved;bicycle;False
324;295726077;2023-05-19;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305190000;TrafficFlowObserved;bicycle;False
259;295726077;2023-05-20;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305200000;TrafficFlowObserved;bicycle;False
158;295726077;2023-05-21;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305210000;TrafficFlowObserved;bicycle;False
562;295726077;2023-05-22;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305220000;TrafficFlowObserved;bicycle;False
666;295726077;2023-05-23;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305230000;TrafficFlowObserved;bicycle;False
540;295726077;2023-05-24;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305240000;TrafficFlowObserved;bicycle;False
611;295726077;2023-05-25;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305250000;TrafficFlowObserved;bicycle;False
650;295726077;2023-05-26;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305260000;TrafficFlowObserved;bicycle;False
316;295726077;2023-05-27;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305270000;TrafficFlowObserved;bicycle;False
224;295726077;2023-05-28;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305280000;TrafficFlowObserved;bicycle;False
235;295726077;2023-05-29;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305290000;TrafficFlowObserved;bicycle;False
722;295726077;2023-05-30;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305300000;TrafficFlowObserved;bicycle;False
603;295726077;2023-05-31;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202305310000;TrafficFlowObserved;bicycle;False
657;295726077;2023-06-01;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202306010000;TrafficFlowObserved;bicycle;False
650;295726077;2023-06-02;3.867790;43.603830;MMM_EcoCompt_X2H22043035_202306020000;TrafficFlowObserved;bicycle;False
