intensity;laneId;date;longitude;latitude;id;type;vehicleType;reversedLane
190.000000;97705917;2023-04-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304010000;TrafficFlowObserved;bicycle;False
183.000000;97705917;2023-04-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304020000;TrafficFlowObserved;bicycle;False
333.000000;97705917;2023-04-03;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304030000;TrafficFlowObserved;bicycle;False
439.000000;97705917;2023-04-04;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304040000;TrafficFlowObserved;bicycle;False
410.000000;97705917;2023-04-05;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304050000;TrafficFlowObserved;bicycle;False
423.000000;97705917;2023-04-06;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304060000;TrafficFlowObserved;bicycle;False
302.000000;97705917;2023-04-07;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304070000;TrafficFlowObserved;bicycle;False
374.000000;97705917;2023-04-08;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304080000;TrafficFlowObserved;bicycle;False
386.000000;97705917;2023-04-09;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304090000;TrafficFlowObserved;bicycle;False
426.000000;97705917;2023-04-10;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304100000;TrafficFlowObserved;bicycle;False
306.000000;97705917;2023-04-11;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304110000;TrafficFlowObserved;bicycle;False
356.000000;97705917;2023-04-12;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304120000;TrafficFlowObserved;bicycle;False
359.000000;97705917;2023-04-13;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304130000;TrafficFlowObserved;bicycle;False
191.000000;97705917;2023-04-14;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304140000;TrafficFlowObserved;bicycle;False
197.000000;97705917;2023-04-15;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304150000;TrafficFlowObserved;bicycle;False
421.000000;97705917;2023-04-16;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304160000;TrafficFlowObserved;bicycle;False
386.000000;97705917;2023-04-17;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304170000;TrafficFlowObserved;bicycle;False
481.000000;97705917;2023-04-18;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304180000;TrafficFlowObserved;bicycle;False
500.000000;97705917;2023-04-19;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304190000;TrafficFlowObserved;bicycle;False
523.000000;97705917;2023-04-20;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304200000;TrafficFlowObserved;bicycle;False
212.000000;97705917;2023-04-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304210000;TrafficFlowObserved;bicycle;False
242.000000;97705917;2023-04-22;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304220000;TrafficFlowObserved;bicycle;False
388.000000;97705917;2023-04-23;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304230000;TrafficFlowObserved;bicycle;False
298.000000;97705917;2023-04-24;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304240000;TrafficFlowObserved;bicycle;False
371.000000;97705917;2023-04-25;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304250000;TrafficFlowObserved;bicycle;False
404.000000;97705917;2023-04-26;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304260000;TrafficFlowObserved;bicycle;False
341.000000;97705917;2023-04-27;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304270000;TrafficFlowObserved;bicycle;False
289.000000;97705917;2023-04-28;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304280000;TrafficFlowObserved;bicycle;False
330.000000;97705917;2023-04-29;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304290000;TrafficFlowObserved;bicycle;False
288.000000;97705917;2023-04-30;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202304300000;TrafficFlowObserved;bicycle;False
422.000000;97705917;2023-05-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305010000;TrafficFlowObserved;bicycle;False
333.000000;97705917;2023-05-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305020000;TrafficFlowObserved;bicycle;False
377.000000;97705917;2023-05-03;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305030000;TrafficFlowObserved;bicycle;False
449.000000;97705917;2023-05-04;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305040000;TrafficFlowObserved;bicycle;False
311.000000;97705917;2023-05-05;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305050000;TrafficFlowObserved;bicycle;False
348.000000;97705917;2023-05-06;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305060000;TrafficFlowObserved;bicycle;False
362.000000;97705917;2023-05-07;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305070000;TrafficFlowObserved;bicycle;False
443.000000;97705917;2023-05-08;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305080000;TrafficFlowObserved;bicycle;False
353.000000;97705917;2023-05-09;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305090000;TrafficFlowObserved;bicycle;False
291.000000;97705917;2023-05-10;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305100000;TrafficFlowObserved;bicycle;False
360.000000;97705917;2023-05-11;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305110000;TrafficFlowObserved;bicycle;False
236.000000;97705917;2023-05-12;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305120000;TrafficFlowObserved;bicycle;False
214.000000;97705917;2023-05-13;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305130000;TrafficFlowObserved;bicycle;False
346.000000;97705917;2023-05-14;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305140000;TrafficFlowObserved;bicycle;False
322.000000;97705917;2023-05-15;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305150000;TrafficFlowObserved;bicycle;False
326.000000;97705917;2023-05-16;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305160000;TrafficFlowObserved;bicycle;False
357.000000;97705917;2023-05-17;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305170000;TrafficFlowObserved;bicycle;False
411.000000;97705917;2023-05-18;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305180000;TrafficFlowObserved;bicycle;False
293.000000;97705917;2023-05-19;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305190000;TrafficFlowObserved;bicycle;False
313.000000;97705917;2023-05-20;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305200000;TrafficFlowObserved;bicycle;False
95.000000;97705917;2023-05-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305210000;TrafficFlowObserved;bicycle;False
328.000000;97705917;2023-05-22;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305220000;TrafficFlowObserved;bicycle;False
376.000000;97705917;2023-05-23;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305230000;TrafficFlowObserved;bicycle;False
360.000000;97705917;2023-05-24;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305240000;TrafficFlowObserved;bicycle;False
365.000000;97705917;2023-05-25;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305250000;TrafficFlowObserved;bicycle;False
438.000000;97705917;2023-05-26;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305260000;TrafficFlowObserved;bicycle;False
373.000000;97705917;2023-05-27;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305270000;TrafficFlowObserved;bicycle;False
378.000000;97705917;2023-05-28;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305280000;TrafficFlowObserved;bicycle;False
391.000000;97705917;2023-05-29;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305290000;TrafficFlowObserved;bicycle;False
444.000000;97705917;2023-05-30;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305300000;TrafficFlowObserved;bicycle;False
379.000000;97705917;2023-05-31;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202305310000;TrafficFlowObserved;bicycle;False
469.000000;97705917;2023-06-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306010000;TrafficFlowObserved;bicycle;False
355.000000;97705917;2023-06-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306020000;TrafficFlowObserved;bicycle;False
422.000000;97705917;2023-06-03;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306030000;TrafficFlowObserved;bicycle;False
452.000000;97705917;2023-06-04;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306040000;TrafficFlowObserved;bicycle;False
373.000000;97705917;2023-06-05;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306050000;TrafficFlowObserved;bicycle;False
485.000000;97705917;2023-06-06;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306060000;TrafficFlowObserved;bicycle;False
442.000000;97705917;2023-06-07;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306070000;TrafficFlowObserved;bicycle;False
485.000000;97705917;2023-06-08;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306080000;TrafficFlowObserved;bicycle;False
177.000000;97705917;2023-06-09;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306090000;TrafficFlowObserved;bicycle;False
357.000000;97705917;2023-06-10;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306100000;TrafficFlowObserved;bicycle;False
406.000000;97705917;2023-06-11;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306110000;TrafficFlowObserved;bicycle;False
351.000000;97705917;2023-06-12;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306120000;TrafficFlowObserved;bicycle;False
243.000000;97705917;2023-06-13;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306130000;TrafficFlowObserved;bicycle;False
397.000000;97705917;2023-06-14;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306140000;TrafficFlowObserved;bicycle;False
422.000000;97705917;2023-06-15;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306150000;TrafficFlowObserved;bicycle;False
382.000000;97705917;2023-06-16;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306160000;TrafficFlowObserved;bicycle;False
312.000000;97705917;2023-06-17;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306170000;TrafficFlowObserved;bicycle;False
362.000000;97705917;2023-06-18;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306180000;TrafficFlowObserved;bicycle;False
377.000000;97705917;2023-06-19;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306190000;TrafficFlowObserved;bicycle;False
375.000000;97705917;2023-06-20;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306200000;TrafficFlowObserved;bicycle;False
384.000000;97705917;2023-06-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306210000;TrafficFlowObserved;bicycle;False
309.000000;97705917;2023-06-22;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306220000;TrafficFlowObserved;bicycle;False
303.000000;97705917;2023-06-23;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306230000;TrafficFlowObserved;bicycle;False
307.000000;97705917;2023-06-24;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306240000;TrafficFlowObserved;bicycle;False
352.000000;97705917;2023-06-25;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306250000;TrafficFlowObserved;bicycle;False
327.000000;97705917;2023-06-26;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306260000;TrafficFlowObserved;bicycle;False
417.000000;97705917;2023-06-27;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306270000;TrafficFlowObserved;bicycle;False
354.000000;97705917;2023-06-28;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306280000;TrafficFlowObserved;bicycle;False
410.000000;97705917;2023-06-29;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306290000;TrafficFlowObserved;bicycle;False
152.000000;97705917;2023-06-30;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202306300000;TrafficFlowObserved;bicycle;False
276.000000;97705917;2023-07-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307010000;TrafficFlowObserved;bicycle;False
342.000000;97705917;2023-07-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307020000;TrafficFlowObserved;bicycle;False
411.000000;97705917;2023-07-03;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307030000;TrafficFlowObserved;bicycle;False
467.000000;97705917;2023-07-04;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307040000;TrafficFlowObserved;bicycle;False
397.000000;97705917;2023-07-05;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307050000;TrafficFlowObserved;bicycle;False
442.000000;97705917;2023-07-06;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307060000;TrafficFlowObserved;bicycle;False
2.000000;97705917;2023-07-07;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307070000;TrafficFlowObserved;bicycle;False
310.000000;97705917;2023-07-08;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307080000;TrafficFlowObserved;bicycle;False
399.000000;97705917;2023-07-09;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307090000;TrafficFlowObserved;bicycle;False
341.000000;97705917;2023-07-10;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307100000;TrafficFlowObserved;bicycle;False
360.000000;97705917;2023-07-11;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307110000;TrafficFlowObserved;bicycle;False
359.000000;97705917;2023-07-12;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307120000;TrafficFlowObserved;bicycle;False
278.000000;97705917;2023-07-13;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307130000;TrafficFlowObserved;bicycle;False
327.000000;97705917;2023-07-14;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307140000;TrafficFlowObserved;bicycle;False
255.000000;97705917;2023-07-15;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307150000;TrafficFlowObserved;bicycle;False
337.000000;97705917;2023-07-16;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307160000;TrafficFlowObserved;bicycle;False
347.000000;97705917;2023-07-17;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307170000;TrafficFlowObserved;bicycle;False
393.000000;97705917;2023-07-18;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307180000;TrafficFlowObserved;bicycle;False
332.000000;97705917;2023-07-19;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307190000;TrafficFlowObserved;bicycle;False
335.000000;97705917;2023-07-20;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307200000;TrafficFlowObserved;bicycle;False
212.000000;97705917;2023-07-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307210000;TrafficFlowObserved;bicycle;False
254.000000;97705917;2023-07-22;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307220000;TrafficFlowObserved;bicycle;False
359.000000;97705917;2023-07-23;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307230000;TrafficFlowObserved;bicycle;False
284.000000;97705917;2023-07-24;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307240000;TrafficFlowObserved;bicycle;False
298.000000;97705917;2023-07-25;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307250000;TrafficFlowObserved;bicycle;False
329.000000;97705917;2023-07-26;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307260000;TrafficFlowObserved;bicycle;False
391.000000;97705917;2023-07-27;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307270000;TrafficFlowObserved;bicycle;False
260.000000;97705917;2023-07-28;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307280000;TrafficFlowObserved;bicycle;False
316.000000;97705917;2023-07-29;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307290000;TrafficFlowObserved;bicycle;False
376.000000;97705917;2023-07-30;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307300000;TrafficFlowObserved;bicycle;False
310.000000;97705917;2023-07-31;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202307310000;TrafficFlowObserved;bicycle;False
303.000000;97705917;2023-08-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308010000;TrafficFlowObserved;bicycle;False
372.000000;97705917;2023-08-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308020000;TrafficFlowObserved;bicycle;False
259.000000;97705917;2023-08-03;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308030000;TrafficFlowObserved;bicycle;False
208.000000;97705917;2023-08-04;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308040000;TrafficFlowObserved;bicycle;False
154.000000;97705917;2023-08-05;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308050000;TrafficFlowObserved;bicycle;False
171.000000;97705917;2023-08-06;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308060000;TrafficFlowObserved;bicycle;False
284.000000;97705917;2023-08-07;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308070000;TrafficFlowObserved;bicycle;False
365.000000;97705917;2023-08-08;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308080000;TrafficFlowObserved;bicycle;False
350.000000;97705917;2023-08-09;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308090000;TrafficFlowObserved;bicycle;False
317.000000;97705917;2023-08-10;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308100000;TrafficFlowObserved;bicycle;False
284.000000;97705917;2023-08-11;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308110000;TrafficFlowObserved;bicycle;False
250.000000;97705917;2023-08-12;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308120000;TrafficFlowObserved;bicycle;False
306.000000;97705917;2023-08-13;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308130000;TrafficFlowObserved;bicycle;False
230.000000;97705917;2023-08-14;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308140000;TrafficFlowObserved;bicycle;False
339.000000;97705917;2023-08-15;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308150000;TrafficFlowObserved;bicycle;False
309.000000;97705917;2023-08-16;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308160000;TrafficFlowObserved;bicycle;False
334.000000;97705917;2023-08-17;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308170000;TrafficFlowObserved;bicycle;False
267.000000;97705917;2023-08-18;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308180000;TrafficFlowObserved;bicycle;False
275.000000;97705917;2023-08-19;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308190000;TrafficFlowObserved;bicycle;False
256.000000;97705917;2023-08-20;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308200000;TrafficFlowObserved;bicycle;False
222.000000;97705917;2023-08-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308210000;TrafficFlowObserved;bicycle;False
297.000000;97705917;2023-08-22;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308220000;TrafficFlowObserved;bicycle;False
215.000000;97705917;2023-08-23;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308230000;TrafficFlowObserved;bicycle;False
245.000000;97705917;2023-08-24;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308240000;TrafficFlowObserved;bicycle;False
231.000000;97705917;2023-08-25;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308250000;TrafficFlowObserved;bicycle;False
281.000000;97705917;2023-08-26;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308260000;TrafficFlowObserved;bicycle;False
161.000000;97705917;2023-08-27;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308270000;TrafficFlowObserved;bicycle;False
230.000000;97705917;2023-08-28;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308280000;TrafficFlowObserved;bicycle;False
344.000000;97705917;2023-08-29;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308290000;TrafficFlowObserved;bicycle;False
358.000000;97705917;2023-08-30;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308300000;TrafficFlowObserved;bicycle;False
411.000000;97705917;2023-08-31;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202308310000;TrafficFlowObserved;bicycle;False
392.000000;97705917;2023-09-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309010000;TrafficFlowObserved;bicycle;False
281.000000;97705917;2023-09-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309020000;TrafficFlowObserved;bicycle;False
639.000000;97705917;2023-09-03;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309030000;TrafficFlowObserved;bicycle;False
372.000000;97705917;2023-09-04;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309040000;TrafficFlowObserved;bicycle;False
442.000000;97705917;2023-09-05;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309050000;TrafficFlowObserved;bicycle;False
443.000000;97705917;2023-09-06;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309060000;TrafficFlowObserved;bicycle;False
448.000000;97705917;2023-09-07;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309070000;TrafficFlowObserved;bicycle;False
382.000000;97705917;2023-09-08;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309080000;TrafficFlowObserved;bicycle;False
330.000000;97705917;2023-09-09;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309090000;TrafficFlowObserved;bicycle;False
415.000000;97705917;2023-09-10;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309100000;TrafficFlowObserved;bicycle;False
426.000000;97705917;2023-09-11;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309110000;TrafficFlowObserved;bicycle;False
418.000000;97705917;2023-09-12;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309120000;TrafficFlowObserved;bicycle;False
372.000000;97705917;2023-09-13;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309130000;TrafficFlowObserved;bicycle;False
457.000000;97705917;2023-09-14;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309140000;TrafficFlowObserved;bicycle;False
390.000000;97705917;2023-09-15;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309150000;TrafficFlowObserved;bicycle;False
338.000000;97705917;2023-09-16;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309160000;TrafficFlowObserved;bicycle;False
362.000000;97705917;2023-09-17;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309170000;TrafficFlowObserved;bicycle;False
373.000000;97705917;2023-09-18;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309180000;TrafficFlowObserved;bicycle;False
557.000000;97705917;2023-09-19;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309190000;TrafficFlowObserved;bicycle;False
229.000000;97705917;2023-09-20;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309200000;TrafficFlowObserved;bicycle;False
301.000000;97705917;2023-09-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309210000;TrafficFlowObserved;bicycle;False
301.000000;97705917;2023-09-21;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309210000;TrafficFlowObserved;bicycle;False
366.000000;97705917;2023-09-22;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309220000;TrafficFlowObserved;bicycle;False
302.000000;97705917;2023-09-23;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309230000;TrafficFlowObserved;bicycle;False
505.000000;97705917;2023-09-24;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309240000;TrafficFlowObserved;bicycle;False
451.000000;97705917;2023-09-25;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309250000;TrafficFlowObserved;bicycle;False
530.000000;97705917;2023-09-26;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309260000;TrafficFlowObserved;bicycle;False
480.000000;97705917;2023-09-27;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309270000;TrafficFlowObserved;bicycle;False
469.000000;97705917;2023-09-28;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309280000;TrafficFlowObserved;bicycle;False
379.000000;97705917;2023-09-29;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309290000;TrafficFlowObserved;bicycle;False
346.000000;97705917;2023-09-30;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202309300000;TrafficFlowObserved;bicycle;False
456.000000;97705917;2023-10-01;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202310010000;TrafficFlowObserved;bicycle;False
403.000000;97705917;2023-10-02;3.800261;43.589824;MMM_EcoCompt_XTH21015106_202310020000;TrafficFlowObserved;bicycle;False
